Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Nerlens Noel,NYK,vs.SAC,02/25/2021,W,23,8,4,5,80.0,0,0,-,0,0,-,2,5,7,1,0,2,0,2,6
DaQuan Jeffries,SAC,@NYK,02/25/2021,L,19,4,2,4,50.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,1,-9
De'Aaron Fox,SAC,@NYK,02/25/2021,L,39,29,9,18,50.0,3,7,42.9,8,10,80.0,1,3,4,11,1,0,6,3,-14
Theo Pinson,NYK,vs.SAC,02/25/2021,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,-4
Derrick Rose,NYK,vs.SAC,02/25/2021,W,28,18,7,11,63.6,2,2,100,2,2,100,0,3,3,6,0,0,3,2,4
Cory Joseph,SAC,@NYK,02/25/2021,L,23,6,3,6,50.0,0,2,0.0,0,0,-,0,0,0,2,1,0,0,5,-14
Kevin Knox II,NYK,vs.SAC,02/25/2021,W,3,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,-2
RJ Barrett,NYK,vs.SAC,02/25/2021,W,25,12,5,8,62.5,2,3,66.7,0,0,-,0,3,3,3,0,0,1,3,1
Richaun Holmes,SAC,@NYK,02/25/2021,L,28,9,4,6,66.7,0,0,-,1,2,50.0,1,5,6,1,1,0,0,2,-8
Justin James,SAC,@NYK,02/25/2021,L,3,0,0,2,0.0,0,1,0.0,0,0,-,1,0,1,0,1,0,1,1,2
Kyle Guy,SAC,@NYK,02/25/2021,L,4,3,1,2,50.0,1,1,100,0,0,-,0,1,1,0,0,0,1,0,2
Frank Ntilikina,NYK,vs.SAC,02/25/2021,W,23,7,3,6,50.0,1,3,33.3,0,0,-,0,0,0,2,3,0,1,1,17
Immanuel Quickley,NYK,vs.SAC,02/25/2021,W,20,25,5,10,50.0,3,6,50.0,12,12,100,1,0,1,3,2,0,1,1,15
Obi Toppin,NYK,vs.SAC,02/25/2021,W,17,3,1,3,33.3,0,1,0.0,1,2,50.0,0,3,3,0,1,0,1,3,10
Harrison Barnes,SAC,@NYK,02/25/2021,L,36,22,7,12,58.3,3,6,50.0,5,7,71.4,0,7,7,5,2,0,2,2,-9
Alec Burks,NYK,vs.SAC,02/25/2021,W,25,24,8,12,66.7,5,8,62.5,3,3,100,1,3,4,2,0,0,2,4,22
Julius Randle,NYK,vs.SAC,02/25/2021,W,31,21,9,18,50.0,2,4,50.0,1,2,50.0,2,12,14,4,1,0,5,4,9
Buddy Hield,SAC,@NYK,02/25/2021,L,30,9,3,9,33.3,2,7,28.6,1,1,100,1,3,4,1,1,0,2,3,-22
Taj Gibson,NYK,vs.SAC,02/25/2021,W,24,9,4,5,80.0,1,2,50.0,0,0,-,3,4,7,1,0,0,1,2,17
Reggie Bullock,NYK,vs.SAC,02/25/2021,W,20,10,4,8,50.0,2,6,33.3,0,0,-,0,1,1,1,1,0,1,1,0
Mike Scott,PHI,vs.DAL,02/25/2021,W,22,6,2,5,40.0,2,5,40.0,0,0,-,0,3,3,0,0,0,0,0,16
Joel Embiid,PHI,vs.DAL,02/25/2021,W,28,23,5,20,25.0,2,5,40.0,11,12,91.7,3,6,9,4,2,1,0,3,7
Jalen Brunson,DAL,@PHI,02/25/2021,L,23,11,3,5,60.0,2,3,66.7,3,4,75.0,0,5,5,1,1,0,2,2,-12
Furkan Korkmaz,PHI,vs.DAL,02/25/2021,W,19,9,3,7,42.9,2,5,40.0,1,2,50.0,0,1,1,2,0,0,0,2,3
Tim Hardaway Jr.,DAL,@PHI,02/25/2021,L,21,12,5,8,62.5,2,4,50.0,0,0,-,2,0,2,3,0,2,0,2,-13
Tobias Harris,PHI,vs.DAL,02/25/2021,W,22,6,2,7,28.6,0,1,0.0,2,2,100,0,2,2,2,1,0,0,0,5
Ben Simmons,PHI,vs.DAL,02/25/2021,W,32,15,6,11,54.5,0,0,-,3,5,60.0,1,2,3,7,2,1,0,0,15
Shake Milton,PHI,vs.DAL,02/25/2021,W,19,10,4,13,30.8,0,3,0.0,2,2,100,1,3,4,6,0,0,2,2,17
Trey Burke,DAL,@PHI,02/25/2021,L,17,9,3,6,50.0,1,3,33.3,2,2,100,0,1,1,2,0,0,0,1,-6
Seth Curry,PHI,vs.DAL,02/25/2021,W,29,15,6,9,66.7,3,3,100,0,0,-,0,3,3,2,3,1,1,1,17
Matisse Thybulle,PHI,vs.DAL,02/25/2021,W,10,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,3,3
Willie Cauley-Stein,DAL,@PHI,02/25/2021,L,17,2,1,4,25.0,0,1,0.0,0,0,-,2,3,5,2,0,0,1,1,-7
Tyrese Maxey,PHI,vs.DAL,02/25/2021,W,5,2,1,2,50.0,0,0,-,0,0,-,0,1,1,1,0,0,0,2,-9
Isaiah Joe,PHI,vs.DAL,02/25/2021,W,5,3,1,2,50.0,1,1,100,0,0,-,0,0,0,0,0,0,0,0,-7
Terrance Ferguson,PHI,vs.DAL,02/25/2021,W,4,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-7
Maxi Kleber,DAL,@PHI,02/25/2021,L,22,6,2,5,40.0,2,5,40.0,0,0,-,0,4,4,0,0,1,0,3,-9
James Johnson,DAL,@PHI,02/25/2021,L,15,3,1,5,20.0,1,3,33.3,0,0,-,0,5,5,3,0,2,1,2,18
Dwight Howard,PHI,vs.DAL,02/25/2021,W,16,14,6,7,85.7,0,1,0.0,2,2,100,3,5,8,1,1,3,3,2,14
Josh Richardson,DAL,@PHI,02/25/2021,L,32,13,5,11,45.5,0,4,0.0,3,3,100,1,5,6,0,0,0,2,0,-24
Dwight Powell,DAL,@PHI,02/25/2021,L,10,6,0,2,0.0,0,0,-,6,6,100,0,1,1,1,0,0,2,2,7
Tony Bradley,PHI,vs.DAL,02/25/2021,W,4,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-7
Danny Green,PHI,vs.DAL,02/25/2021,W,23,6,2,4,50.0,2,4,50.0,0,0,-,0,4,4,1,2,0,0,2,5
Dorian Finney-Smith,DAL,@PHI,02/25/2021,L,31,6,2,7,28.6,2,4,50.0,0,0,-,1,4,5,1,1,0,1,4,-9
Wes Iwundu,DAL,@PHI,02/25/2021,L,7,3,1,1,100,0,0,-,1,1,100,0,1,1,0,0,0,1,0,12
Boban Marjanovic,DAL,@PHI,02/25/2021,L,17,7,3,11,27.3,0,1,0.0,1,1,100,4,8,12,0,0,1,1,2,-7
Luka Doncic,DAL,@PHI,02/25/2021,L,29,19,6,13,46.2,3,6,50.0,4,6,66.7,0,3,3,4,0,3,7,2,-20
Vincent Poirier,PHI,vs.DAL,02/25/2021,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,1,-2
Steven Adams,NOP,vs.DET,02/24/2021,W,31,14,7,8,87.5,0,0,-,0,2,0.0,6,9,15,3,1,2,1,1,8
Josh Hart,NOP,vs.DET,02/24/2021,W,29,11,5,10,50.0,1,4,25.0,0,0,-,0,2,2,0,1,0,1,1,3
Brandon Ingram,NOP,vs.DET,02/24/2021,W,37,27,9,18,50.0,3,6,50.0,6,7,85.7,0,7,7,8,1,0,1,1,14
Nickeil Alexander-Walker,NOP,vs.DET,02/24/2021,W,6,3,1,3,33.3,1,1,100,0,0,-,0,0,0,1,1,0,0,1,4
Isaiah Stewart,DET,@NOP,02/24/2021,L,18,11,5,8,62.5,0,0,-,1,2,50.0,2,8,10,0,2,1,1,3,-5
Willy Hernangomez,NOP,vs.DET,02/24/2021,W,16,6,2,4,50.0,0,0,-,2,3,66.7,2,3,5,0,0,3,3,2,0
Rodney McGruder,DET,@NOP,02/24/2021,L,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,1,-1
Dennis Smith Jr.,DET,@NOP,02/24/2021,L,26,11,5,12,41.7,1,3,33.3,0,0,-,1,2,3,7,3,0,0,2,-6
JJ Redick,NOP,vs.DET,02/24/2021,W,15,7,2,6,33.3,2,4,50.0,1,2,50.0,0,1,1,4,1,0,2,1,-2
Svi Mykhailiuk,DET,@NOP,02/24/2021,L,28,12,4,9,44.4,4,9,44.4,0,0,-,0,3,3,2,0,0,3,0,1
Frank Jackson,DET,@NOP,02/24/2021,L,3,2,1,1,100,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0
Saben Lee,DET,@NOP,02/24/2021,L,22,13,5,8,62.5,1,1,100,2,2,100,1,1,2,4,2,1,0,0,-4
Saddiq Bey,DET,@NOP,02/24/2021,L,31,13,4,8,50.0,3,6,50.0,2,2,100,0,2,2,1,1,0,1,4,-6
Zion Williamson,NOP,vs.DET,02/24/2021,W,31,32,13,18,72.2,0,0,-,6,9,66.7,1,5,6,5,0,1,0,0,3
Lonzo Ball,NOP,vs.DET,02/24/2021,W,35,12,4,8,50.0,2,5,40.0,2,2,100,2,4,6,8,3,0,2,0,16
Wayne Ellington,DET,@NOP,02/24/2021,L,24,7,3,10,30.0,1,7,14.3,0,1,0.0,0,1,1,3,0,0,3,1,-8
Sekou Doumbouya,DET,@NOP,02/24/2021,L,23,3,1,5,20.0,1,4,25.0,0,0,-,1,0,1,4,0,0,0,5,-6
Eric Bledsoe,NOP,vs.DET,02/24/2021,W,33,11,5,11,45.5,0,1,0.0,1,4,25.0,1,2,3,2,2,0,1,0,6
Josh Jackson,DET,@NOP,02/24/2021,L,29,25,10,18,55.6,2,6,33.3,3,4,75.0,3,3,6,3,0,0,1,4,-5
Kira Lewis Jr.,NOP,vs.DET,02/24/2021,W,7,5,2,4,50.0,1,2,50.0,0,0,-,0,0,0,0,0,0,1,3,-6
Mason Plumlee,DET,@NOP,02/24/2021,L,32,21,9,10,90.0,0,0,-,3,5,60.0,1,8,9,7,0,4,3,3,-10
Shai Gilgeous-Alexander,OKC,vs.SAS,02/24/2021,W,38,42,13,20,65.0,6,11,54.5,10,11,90.9,0,8,8,4,0,1,4,1,15
Drew Eubanks,SAS,@OKC,02/24/2021,L,9,2,1,4,25.0,0,0,-,0,0,-,0,2,2,1,0,0,1,0,10
Jakob Poeltl,SAS,@OKC,02/24/2021,L,35,7,3,7,42.9,0,0,-,1,3,33.3,3,6,9,3,0,2,0,1,-15
Luka Samanic,SAS,@OKC,02/24/2021,L,19,4,2,3,66.7,0,1,0.0,0,0,-,1,3,4,0,0,0,1,1,-4
Isaiah Roby,OKC,vs.SAS,02/24/2021,W,17,5,2,5,40.0,1,2,50.0,0,0,-,1,4,5,1,2,1,3,5,-10
Tre Jones,SAS,@OKC,02/24/2021,L,12,4,2,2,100,0,0,-,0,0,-,0,0,0,1,0,0,1,1,-6
Lonnie Walker IV,SAS,@OKC,02/24/2021,L,33,12,5,16,31.3,2,7,28.6,0,0,-,0,4,4,2,1,0,2,3,-7
Al Horford,OKC,vs.SAS,02/24/2021,W,30,16,7,16,43.8,2,6,33.3,0,0,-,3,4,7,7,0,0,0,1,10
Justin Jackson,OKC,vs.SAS,02/24/2021,W,13,5,2,6,33.3,1,3,33.3,0,0,-,0,3,3,3,0,0,2,0,-2
Darius Bazley,OKC,vs.SAS,02/24/2021,W,30,0,0,8,0.0,0,3,0.0,0,0,-,3,7,10,0,0,0,2,0,11
Mike Muscala,OKC,vs.SAS,02/24/2021,W,17,7,3,8,37.5,1,5,20.0,0,0,-,1,4,5,0,0,1,0,3,-11
Keita Bates-Diop,SAS,@OKC,02/24/2021,L,20,9,3,5,60.0,1,2,50.0,2,2,100,2,2,4,2,4,0,0,1,-1
Luguentz Dort,OKC,vs.SAS,02/24/2021,W,31,16,6,12,50.0,4,7,57.1,0,0,-,1,3,4,1,0,0,2,0,6
Theo Maledon,OKC,vs.SAS,02/24/2021,W,35,3,1,5,20.0,1,4,25.0,0,0,-,0,3,3,3,4,0,1,2,7
Dejounte Murray,SAS,@OKC,02/24/2021,L,32,27,12,20,60.0,0,1,0.0,3,4,75.0,0,9,9,6,2,0,0,3,8
Patty Mills,SAS,@OKC,02/24/2021,L,28,15,6,12,50.0,3,8,37.5,0,0,-,0,0,0,3,1,0,3,1,-1
Trey Lyles,SAS,@OKC,02/24/2021,L,26,8,3,7,42.9,1,3,33.3,1,2,50.0,0,5,5,1,1,1,2,1,-8
Kenrich Williams,OKC,vs.SAS,02/24/2021,W,18,3,1,3,33.3,1,1,100,0,0,-,1,4,5,1,0,1,2,2,-6
Hamidou Diallo,OKC,vs.SAS,02/24/2021,W,11,5,2,6,33.3,1,2,50.0,0,0,-,0,2,2,1,0,0,1,0,-5
LaMarcus Aldridge,SAS,@OKC,02/24/2021,L,26,11,3,10,30.0,2,3,66.7,3,4,75.0,0,7,7,1,1,1,2,1,9
Javonte Green,BOS,@ATL,02/24/2021,L,13,6,3,3,100,0,0,-,0,0,-,1,1,2,0,1,0,0,2,10
Tremont Waters,BOS,@ATL,02/24/2021,L,8,11,4,4,100,3,3,100,0,0,-,0,0,0,5,1,0,0,0,12
Trae Young,ATL,vs.BOS,02/24/2021,W,35,33,12,23,52.2,5,11,45.5,4,5,80.0,2,2,4,7,1,0,4,1,13
Onyeka Okongwu,ATL,vs.BOS,02/24/2021,W,12,5,2,3,66.7,0,0,-,1,2,50.0,2,2,4,0,0,0,0,0,-2
Jaylen Brown,BOS,@ATL,02/24/2021,L,29,17,6,16,37.5,0,6,0.0,5,5,100,1,3,4,5,1,0,2,1,-13
Brandon Goodwin,ATL,vs.BOS,02/24/2021,W,4,5,2,3,66.7,1,1,100,0,0,-,0,0,0,0,0,0,1,0,-7
Robert Williams III,BOS,@ATL,02/24/2021,L,14,6,3,5,60.0,0,0,-,0,0,-,0,4,4,1,0,1,0,1,-20
Tristan Thompson,BOS,@ATL,02/24/2021,L,26,13,5,10,50.0,0,0,-,3,4,75.0,8,5,13,0,1,0,0,2,-7
Danilo Gallinari,ATL,vs.BOS,02/24/2021,W,33,38,13,16,81.3,10,12,83.3,2,2,100,0,6,6,2,2,0,4,2,25
John Collins,ATL,vs.BOS,02/24/2021,W,25,14,6,11,54.5,2,5,40.0,0,0,-,3,8,11,1,0,1,2,4,2
Skylar Mays,ATL,vs.BOS,02/24/2021,W,17,4,0,2,0.0,0,1,0.0,4,4,100,1,1,2,5,0,0,0,1,9
Carsen Edwards,BOS,@ATL,02/24/2021,L,12,11,5,8,62.5,1,4,25.0,0,0,-,0,1,1,1,0,0,0,0,7
Payton Pritchard,BOS,@ATL,02/24/2021,L,17,3,1,5,20.0,0,1,0.0,1,1,100,0,1,1,0,1,0,0,1,-12
Kevin Huerter,ATL,vs.BOS,02/24/2021,W,28,5,2,7,28.6,1,3,33.3,0,0,-,0,2,2,4,0,0,2,4,9
Jeff Teague,BOS,@ATL,02/24/2021,L,29,14,4,9,44.4,0,1,0.0,6,6,100,0,5,5,5,1,1,1,2,-22
Bruno Fernando,ATL,vs.BOS,02/24/2021,W,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,0,-7
Clint Capela,ATL,vs.BOS,02/24/2021,W,21,9,3,6,50.0,0,0,-,3,4,75.0,2,7,9,1,0,3,1,2,12
Tacko Fall,BOS,@ATL,02/24/2021,L,8,2,1,1,100,0,0,-,0,0,-,0,0,0,1,0,2,0,1,12
Jayson Tatum,BOS,@ATL,02/24/2021,L,32,13,4,20,20.0,1,8,12.5,4,4,100,1,0,1,1,2,0,1,1,-15
Grant Williams,BOS,@ATL,02/24/2021,L,21,0,0,3,0.0,0,2,0.0,0,0,-,0,2,2,1,1,1,1,1,-23
Semi Ojeleye,BOS,@ATL,02/24/2021,L,6,3,1,2,50.0,0,1,0.0,1,1,100,0,0,0,0,0,0,0,0,-10
Tony Snell,ATL,vs.BOS,02/24/2021,W,29,12,4,8,50.0,4,6,66.7,0,0,-,1,3,4,4,0,1,1,4,8
Rajon Rondo,ATL,vs.BOS,02/24/2021,W,11,0,0,1,0.0,0,0,-,0,0,-,0,1,1,2,1,0,0,3,10
Nathan Knight,ATL,vs.BOS,02/24/2021,W,4,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,1,0,-7
Daniel Theis,BOS,@ATL,02/24/2021,L,11,0,0,2,0.0,0,1,0.0,0,0,-,0,0,0,0,0,1,0,2,2
Aaron Nesmith,BOS,@ATL,02/24/2021,L,14,13,5,7,71.4,3,4,75.0,0,2,0.0,1,2,3,0,1,0,1,2,4
Solomon Hill,ATL,vs.BOS,02/24/2021,W,18,2,1,4,25.0,0,3,0.0,0,0,-,1,0,1,1,0,0,0,2,10
Jeremy Lamb,IND,vs.GSW,02/24/2021,L,19,9,2,4,50.0,1,2,50.0,4,4,100,0,1,1,0,0,1,1,4,-6
Myles Turner,IND,vs.GSW,02/24/2021,L,32,14,4,13,30.8,1,5,20.0,5,5,100,1,7,8,2,1,2,1,5,-7
Edmond Sumner,IND,vs.GSW,02/24/2021,L,3,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,1,6
Justin Holiday,IND,vs.GSW,02/24/2021,L,35,6,2,7,28.6,2,7,28.6,0,0,-,0,2,2,2,1,0,1,2,-9
Kent Bazemore,GSW,@IND,02/24/2021,W,12,3,1,4,25.0,1,4,25.0,0,0,-,0,3,3,0,0,1,2,3,10
Doug McDermott,IND,vs.GSW,02/24/2021,L,29,15,5,11,45.5,2,6,33.3,3,4,75.0,2,1,3,3,1,1,1,0,6
Kevon Looney,GSW,@IND,02/24/2021,W,17,4,2,4,50.0,0,0,-,0,0,-,4,1,5,1,0,1,0,2,-4
Domantas Sabonis,IND,vs.GSW,02/24/2021,L,39,22,7,12,58.3,0,2,0.0,8,12,66.7,3,13,16,4,2,1,6,4,2
Malcolm Brogdon,IND,vs.GSW,02/24/2021,L,35,24,10,20,50.0,0,4,0.0,4,4,100,1,2,3,3,1,0,4,2,-5
T.J. McConnell,IND,vs.GSW,02/24/2021,L,27,9,4,7,57.1,0,1,0.0,1,1,100,0,5,5,6,4,1,4,1,-8
Brad Wanamaker,GSW,@IND,02/24/2021,W,13,7,2,3,66.7,0,0,-,3,3,100,0,0,0,1,0,0,0,2,-2
Juan Toscano-Anderson,GSW,@IND,02/24/2021,W,3,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,1,0,1
Eric Paschall,GSW,@IND,02/24/2021,W,18,13,5,8,62.5,0,0,-,3,4,75.0,0,1,1,1,1,1,4,4,-3
Andrew Wiggins,GSW,@IND,02/24/2021,W,33,15,5,13,38.5,0,4,0.0,5,6,83.3,1,0,1,4,2,0,2,0,-14
James Wiseman,GSW,@IND,02/24/2021,W,18,11,5,8,62.5,1,1,100,0,0,-,2,3,5,0,1,0,2,6,7
Aaron Holiday,IND,vs.GSW,02/24/2021,L,18,6,2,5,40.0,1,2,50.0,1,2,50.0,0,1,1,0,1,0,1,2,1
Stephen Curry,GSW,@IND,02/24/2021,W,36,24,7,21,33.3,1,11,9.1,9,10,90.0,1,7,8,8,2,0,4,2,7
Kelly Oubre Jr.,GSW,@IND,02/24/2021,W,36,17,7,15,46.7,1,4,25.0,2,2,100,0,5,5,0,0,0,0,0,10
Damion Lee,GSW,@IND,02/24/2021,W,18,5,1,2,50.0,1,1,100,2,2,100,0,3,3,1,1,0,0,1,1
Draymond Green,GSW,@IND,02/24/2021,W,36,12,4,5,80.0,0,1,0.0,4,4,100,0,9,9,11,3,1,3,5,7
Goga Bitadze,IND,vs.GSW,02/24/2021,L,3,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,0
Jared Dudley,LAL,@UTA,02/24/2021,L,14,3,1,2,50.0,1,2,50.0,0,0,-,2,2,4,1,0,0,1,2,-14
Juwan Morgan,UTA,vs.LAL,02/24/2021,W,4,1,0,0,-,0,0,-,1,2,50.0,1,0,1,0,0,0,0,0,-1
Markieff Morris,LAL,@UTA,02/24/2021,L,28,12,5,10,50.0,0,1,0.0,2,4,50.0,5,4,9,1,0,0,1,2,-9
Marc Gasol,LAL,@UTA,02/24/2021,L,19,8,3,7,42.9,2,5,40.0,0,0,-,0,2,2,2,1,1,1,1,-7
Royce O'Neale,UTA,vs.LAL,02/24/2021,W,31,6,2,4,50.0,2,4,50.0,0,0,-,2,2,4,3,1,0,0,2,21
Wesley Matthews,LAL,@UTA,02/24/2021,L,17,3,1,4,25.0,1,4,25.0,0,0,-,0,0,0,2,1,0,0,2,-18
Miye Oni,UTA,vs.LAL,02/24/2021,W,5,6,2,3,66.7,2,3,66.7,0,0,-,0,2,2,0,0,0,0,1,-1
Kyle Kuzma,LAL,@UTA,02/24/2021,L,25,5,2,7,28.6,1,3,33.3,0,0,-,1,6,7,1,2,1,2,1,-7
Georges Niang,UTA,vs.LAL,02/24/2021,W,17,6,2,8,25.0,2,6,33.3,0,0,-,0,0,0,0,0,0,0,0,6
Devontae Cacok,LAL,@UTA,02/24/2021,L,5,4,2,2,100,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1
Alfonzo McKinnie,LAL,@UTA,02/24/2021,L,7,2,1,3,33.3,0,1,0.0,0,0,-,0,2,2,0,0,0,0,1,-3
Montrezl Harrell,LAL,@UTA,02/24/2021,L,22,16,7,12,58.3,0,0,-,2,3,66.7,2,4,6,0,0,1,0,0,-15
Trent Forrest,UTA,vs.LAL,02/24/2021,W,5,0,0,1,0.0,0,0,-,0,0,-,0,0,0,3,0,0,1,0,-1
Jarrell Brantley,UTA,vs.LAL,02/24/2021,W,4,2,1,2,50.0,0,1,0.0,0,0,-,1,2,3,0,0,0,0,0,-1
Talen Horton-Tucker,LAL,@UTA,02/24/2021,L,30,8,3,12,25.0,2,5,40.0,0,0,-,0,5,5,5,0,0,3,2,-16
Derrick Favors,UTA,vs.LAL,02/24/2021,W,17,12,5,5,100,0,0,-,2,4,50.0,3,4,7,0,0,0,1,2,12
Donovan Mitchell,UTA,vs.LAL,02/24/2021,W,31,13,4,16,25.0,2,7,28.6,3,4,75.0,2,8,10,8,2,0,1,1,19
Rudy Gobert,UTA,vs.LAL,02/24/2021,W,27,18,8,12,66.7,0,0,-,2,3,66.7,1,8,9,0,0,1,3,1,14
Kostas Antetokounmpo,LAL,@UTA,02/24/2021,L,5,1,0,0,-,0,0,-,1,2,50.0,0,1,1,0,0,0,1,0,1
Mike Conley,UTA,vs.LAL,02/24/2021,W,27,14,5,10,50.0,4,6,66.7,0,0,-,3,5,8,8,2,0,3,3,14
Bojan Bogdanovic,UTA,vs.LAL,02/24/2021,W,26,15,5,10,50.0,5,8,62.5,0,0,-,0,2,2,2,2,0,0,0,18
Jordan Clarkson,UTA,vs.LAL,02/24/2021,W,24,18,6,13,46.2,4,10,40.0,2,2,100,0,4,4,2,0,0,0,4,17
Joe Ingles,UTA,vs.LAL,02/24/2021,W,22,3,1,3,33.3,1,3,33.3,0,0,-,1,2,3,2,0,0,3,2,8
Alex Caruso,LAL,@UTA,02/24/2021,L,16,3,1,8,12.5,0,3,0.0,1,2,50.0,1,0,1,0,0,1,0,2,-11
Kentavious Caldwell-Pope,LAL,@UTA,02/24/2021,L,24,5,1,5,20.0,0,4,0.0,3,4,75.0,1,2,3,1,0,0,1,2,-7
LeBron James,LAL,@UTA,02/24/2021,L,28,19,7,13,53.8,1,5,20.0,4,5,80.0,0,4,4,4,1,0,4,0,-20
Matt Thomas,TOR,@MIA,02/24/2021,L,6,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,7
Duncan Robinson,MIA,vs.TOR,02/24/2021,W,39,17,6,11,54.5,4,9,44.4,1,1,100,0,2,2,2,1,0,1,2,11
OG Anunoby,TOR,@MIA,02/24/2021,L,36,14,6,13,46.2,2,5,40.0,0,0,-,1,5,6,2,0,2,1,3,-7
Andre Iguodala,MIA,vs.TOR,02/24/2021,W,24,12,4,5,80.0,4,5,80.0,0,0,-,1,4,5,1,0,1,1,2,7
Precious Achiuwa,MIA,vs.TOR,02/24/2021,W,6,1,0,0,-,0,0,-,1,2,50.0,0,2,2,0,0,0,0,1,-4
Terence Davis,TOR,@MIA,02/24/2021,L,15,6,2,6,33.3,2,6,33.3,0,0,-,0,2,2,0,0,0,1,3,-3
DeAndre' Bembry,TOR,@MIA,02/24/2021,L,5,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,1,3,1
Chris Boucher,TOR,@MIA,02/24/2021,L,18,11,4,6,66.7,2,3,66.7,1,1,100,0,6,6,0,2,1,0,1,10
Pascal Siakam,TOR,@MIA,02/24/2021,L,24,5,1,6,16.7,1,3,33.3,2,2,100,0,2,2,4,0,0,3,4,-3
Kendrick Nunn,MIA,vs.TOR,02/24/2021,W,36,7,2,9,22.2,1,4,25.0,2,2,100,2,2,4,7,0,1,2,3,12
Norman Powell,TOR,@MIA,02/24/2021,L,33,17,6,11,54.5,3,6,50.0,2,2,100,0,1,1,3,1,0,3,1,-11
Jimmy Butler,MIA,vs.TOR,02/24/2021,W,34,27,8,17,47.1,3,4,75.0,8,8,100,2,6,8,10,3,1,2,1,10
Aron Baynes,TOR,@MIA,02/24/2021,L,17,7,3,5,60.0,1,2,50.0,0,0,-,2,2,4,1,0,0,0,1,-2
Stanley Johnson,TOR,@MIA,02/24/2021,L,3,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,0,0,1,0,-11
Gabe Vincent,MIA,vs.TOR,02/24/2021,W,12,11,3,5,60.0,3,5,60.0,2,2,100,0,0,0,0,1,0,0,4,-4
Bam Adebayo,MIA,vs.TOR,02/24/2021,W,35,19,7,11,63.6,0,0,-,5,6,83.3,6,6,12,4,1,1,1,2,4
Kyle Lowry,TOR,@MIA,02/24/2021,L,35,24,9,13,69.2,4,7,57.1,2,4,50.0,0,7,7,8,2,0,3,4,-6
Goran Dragic,MIA,vs.TOR,02/24/2021,W,21,15,4,13,30.8,2,6,33.3,5,6,83.3,0,2,2,3,0,0,3,3,-6
Fred VanVleet,TOR,@MIA,02/24/2021,L,39,24,6,13,46.2,5,11,45.5,7,8,87.5,0,4,4,7,0,0,1,4,-7
Patrick McCaw,TOR,@MIA,02/24/2021,L,8,0,0,0,-,0,0,-,0,0,-,0,0,0,2,0,0,0,1,-8
Kelly Olynyk,MIA,vs.TOR,02/24/2021,W,32,7,3,9,33.3,0,5,0.0,1,2,50.0,0,7,7,4,0,0,1,3,10
Danuel House Jr.,HOU,@CLE,02/24/2021,L,34,14,6,14,42.9,2,5,40.0,0,0,-,1,4,5,3,0,3,0,3,-9
Darius Garland,CLE,vs.HOU,02/24/2021,W,35,11,4,14,28.6,3,10,30.0,0,0,-,0,4,4,10,0,0,8,2,19
Dylan Windler,CLE,vs.HOU,02/24/2021,W,24,13,4,4,100,4,4,100,1,2,50.0,0,4,4,2,0,0,0,3,11
David Nwaba,HOU,@CLE,02/24/2021,L,17,12,4,8,50.0,2,3,66.7,2,2,100,0,1,1,0,1,2,0,0,-1
Justin Patton,HOU,@CLE,02/24/2021,L,12,6,2,3,66.7,0,1,0.0,2,2,100,0,1,1,0,0,1,0,2,-9
JaVale McGee,CLE,vs.HOU,02/24/2021,W,11,4,2,4,50.0,0,0,-,0,0,-,1,4,5,1,1,3,3,5,-1
P.J. Tucker,HOU,@CLE,02/24/2021,L,31,0,0,2,0.0,0,1,0.0,0,0,-,2,5,7,2,0,0,2,2,-11
Eric Gordon,HOU,@CLE,02/24/2021,L,34,17,5,14,35.7,2,7,28.6,5,7,71.4,0,0,0,2,2,0,1,1,-9
Lamar Stevens,CLE,vs.HOU,02/24/2021,W,11,5,2,5,40.0,0,0,-,1,1,100,0,0,0,2,1,1,1,4,-1
Victor Oladipo,HOU,@CLE,02/24/2021,L,32,17,8,20,40.0,1,8,12.5,0,1,0.0,1,5,6,5,2,0,1,0,-17
