Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Austin Reaves (20780584),Austin Reaves,20780584,SG/SF/F/G/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,LAL,11.32
SF,Sekou Doumbouya (20780589),Sekou Doumbouya,20780589,SF/F/UTIL,3000,LAL@HOU 12/28/2021 08:00PM ET,LAL,15.5
PG,Justin Robinson (20780307),Justin Robinson,20780307,PG/G/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,SAC,5.85
PF,Emanuel Terry (20780313),Emanuel Terry,20780313,PF/F/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,SAC,0
C,Isaiah Roby (20780322),Isaiah Roby,20780322,C/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,OKC,11.30
PF,Ade Murkey (20780464),Ade Murkey,20780464,PF/F/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,SAC,0
PG,Matt Coleman III (20780467),Matt Coleman III,20780467,PG/G/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,SAC,0
SG,DJ Steward (20780470),DJ Steward,20780470,SG/G/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,SAC,0
SG/SF,Robert Woodard II (20780473),Robert Woodard II,20780473,SG/SF/F/G/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,SAC,1.25
SF/PF,Louis King (20780478),Louis King,20780478,SF/PF/F/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,SAC,9.4
C,Neemias Queta (20780482),Neemias Queta,20780482,C/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,SAC,5.38
SG,Scotty Hopson (20780633),Scotty Hopson,20780633,SG/G/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,OKC,0
SG,Paul Watson (20780636),Paul Watson,20780636,SG/G/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,OKC,6.8
PG/SG,Ty Jerome (20780639),Ty Jerome,20780639,PG/SG/G/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,OKC,11.18
PG,Vit Krejci (20780643),Vit Krejci,20780643,PG/G/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,OKC,1.75
SF/PF,Gabriel Deck (20780646),Gabriel Deck,20780646,SF/PF/F/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,OKC,4.21
SF,Zavier Simpson (20780650),Zavier Simpson,20780650,SF/F/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,OKC,0
PF,Justin Jaworski (20780653),Justin Jaworski,20780653,PF/F/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,OKC,0
SG,Olivier Sarr (20780656),Olivier Sarr,20780656,SG/G/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,OKC,0
SG,Melvin Frazier Jr. (20780659),Melvin Frazier Jr.,20780659,SG/G/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,OKC,0
SG,Rob Edwards (20780662),Rob Edwards,20780662,SG/G/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,OKC,0
SF,Jaylen Hoard (20780665),Jaylen Hoard,20780665,SF/F/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,OKC,0
SF,Mamadi Diakite (20780668),Mamadi Diakite,20780668,SF/F/UTIL,3000,OKC@SAC 12/28/2021 10:00PM ET,OKC,0
C,Udonis Haslem (20780384),Udonis Haslem,20780384,C/UTIL,3000,WAS@MIA 12/28/2021 07:30PM ET,MIA,6.47
SF,Micah Potter (20780386),Micah Potter,20780386,SF/F/UTIL,3000,WAS@MIA 12/28/2021 07:30PM ET,MIA,0
SG,D.J. Stewart Jr. (20780389),D.J. Stewart Jr.,20780389,SG/G/UTIL,3000,WAS@MIA 12/28/2021 07:30PM ET,MIA,0
PF,Zylan Cheatham (20780392),Zylan Cheatham,20780392,PF/F/UTIL,3000,WAS@MIA 12/28/2021 07:30PM ET,MIA,0
SF/PF,Anthony Gill (20780545),Anthony Gill,20780545,SF/PF/F/UTIL,3000,WAS@MIA 12/28/2021 07:30PM ET,WAS,4.84
SG,Devontae Shuler (20780549),Devontae Shuler,20780549,SG/G/UTIL,3000,WAS@MIA 12/28/2021 07:30PM ET,WAS,0
SG,Jordan Schakel (20780552),Jordan Schakel,20780552,SG/G/UTIL,3000,WAS@MIA 12/28/2021 07:30PM ET,WAS,2.5
C,Jaime Echenique (20780555),Jaime Echenique,20780555,C/UTIL,3000,WAS@MIA 12/28/2021 07:30PM ET,WAS,0
PG,Jordan Goodwin (20780557),Jordan Goodwin,20780557,PG/G/UTIL,3000,WAS@MIA 12/28/2021 07:30PM ET,WAS,0
PG/SG,Joel Ayayi (20780560),Joel Ayayi,20780560,PG/SG/G/UTIL,3000,WAS@MIA 12/28/2021 07:30PM ET,WAS,1.96
SG,Caleb Homesley (20780564),Caleb Homesley,20780564,SG/G/UTIL,3000,WAS@MIA 12/28/2021 07:30PM ET,WAS,0
C,Isaiah Todd (20780567),Isaiah Todd,20780567,C/UTIL,3000,WAS@MIA 12/28/2021 07:30PM ET,WAS,3.83
SG,Dwayne Bacon (20780301),Dwayne Bacon,20780301,SG/G/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,NYK,0
SG,Tyler Hall (20780316),Tyler Hall,20780316,SG/G/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,NYK,0
PG,Luca Vildoza (20780319),Luca Vildoza,20780319,PG/G/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,NYK,0
PG,Isaiah Miller (20780413),Isaiah Miller,20780413,PG/G/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,MIN,0
SG,Matt Lewis (20780416),Matt Lewis,20780416,SG/G/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,MIN,0
SG,Brian Bowen II (20780419),Brian Bowen II,20780419,SG/G/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,MIN,0
SG,Rayjon Tucker (20780422),Rayjon Tucker,20780422,SG/G/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,MIN,0
C,Chris Silva (20780425),Chris Silva,20780425,C/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,MIN,1.25
SF/PF,Taurean Prince (20780427),Taurean Prince,20780427,SF/PF/F/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,MIN,9.83
PG,McKinley Wright IV (20780431),McKinley Wright IV,20780431,PG/G/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,MIN,3
SF,Aaron Sims (20780592),Aaron Sims,20780592,SF/F/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,NYK,0
PG,Brandon Goodwin (20780595),Brandon Goodwin,20780595,PG/G/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,NYK,0
PG,Matt Mooney (20780598),Matt Mooney,20780598,PG/G/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,NYK,1.5
SG/SF,Wayne Selden Jr. (20780601),Wayne Selden Jr.,20780601,SG/SF/F/G/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,NYK,2.75
PG,Rokas Jokubaitis (20780606),Rokas Jokubaitis,20780606,PG/G/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,NYK,0
PF,Aamir Simms (20780609),Aamir Simms,20780609,PF/F/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,NYK,0
PF,Luka Samanic (20780612),Luka Samanic,20780612,PF/F/UTIL,3000,NYK@MIN 12/28/2021 08:00PM ET,NYK,0
SG,Sindarius Thornwell (20780324),Sindarius Thornwell,20780324,SG/G/UTIL,3000,MIL@ORL 12/28/2021 07:00PM ET,ORL,0
PG,Devin Cannady (20780327),Devin Cannady,20780327,PG/G/UTIL,3000,MIL@ORL 12/28/2021 07:00PM ET,ORL,0
C,Jeremiah Tilmon (20780330),Jeremiah Tilmon,20780330,C/UTIL,3000,MIL@ORL 12/28/2021 07:00PM ET,ORL,0
C,Jon Teske (20780332),Jon Teske,20780332,C/UTIL,3000,MIL@ORL 12/28/2021 07:00PM ET,ORL,0
SF,Freddie Gillespie (20780334),Freddie Gillespie,20780334,SF/F/UTIL,3000,MIL@ORL 12/28/2021 07:00PM ET,ORL,14
SG/SF,E'Twaun Moore (20780337),E'Twaun Moore,20780337,SG/SF/F/G/UTIL,3000,MIL@ORL 12/28/2021 07:00PM ET,ORL,0
C,Jonathan Isaac (20780342),Jonathan Isaac,20780342,C/UTIL,3000,MIL@ORL 12/28/2021 07:00PM ET,ORL,0
SF/PF,Ignas Brazdeikis (20780344),Ignas Brazdeikis,20780344,SF/PF/F/UTIL,3000,MIL@ORL 12/28/2021 07:00PM ET,ORL,4.39
PF,Johnny O'Bryant III (20780506),Johnny O'Bryant III,20780506,PF/F/UTIL,3000,MIL@ORL 12/28/2021 07:00PM ET,MIL,0
PG,Jeff Teague (20780509),Jeff Teague,20780509,PG/G/UTIL,3000,MIL@ORL 12/28/2021 07:00PM ET,MIL,0
SG,Elijah Bryant (20780512),Elijah Bryant,20780512,SG/G/UTIL,3000,MIL@ORL 12/28/2021 07:00PM ET,MIL,0
PF,Javin DeLaurier (20780515),Javin DeLaurier,20780515,PF/F/UTIL,3000,MIL@ORL 12/28/2021 07:00PM ET,MIL,0
PG,Jalen Lecque (20780518),Jalen Lecque,20780518,PG/G/UTIL,3000,MIL@ORL 12/28/2021 07:00PM ET,MIL,0
SF,Georgios Kalaitzakis (20780521),Georgios Kalaitzakis,20780521,SF/F/UTIL,3000,MIL@ORL 12/28/2021 07:00PM ET,MIL,3.22
PG,Jared Harper (20780434),Jared Harper,20780434,PG/G/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,NOP,0
PF,Gary Clark (20780437),Gary Clark,20780437,PF/F/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,NOP,2.75
SF,James Nunnally (20780440),James Nunnally,20780440,SF/F/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,NOP,0
SG,John Petty Jr. (20780443),John Petty Jr.,20780443,SG/G/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,NOP,0
C,James Banks III (20780446),James Banks III,20780446,C/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,NOP,0
PG,Jose Alvarado (20780448),Jose Alvarado,20780448,PG/G/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,NOP,5.28
SF/PF,Naji Marshall (20780451),Naji Marshall,20780451,SF/PF/F/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,NOP,9.34
PG,Kira Lewis Jr. (20780455),Kira Lewis Jr.,20780455,PG/G/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,NOP,11.70
SF,Daulton Hommes (20780458),Daulton Hommes,20780458,SF/F/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,NOP,0
SG,Didi Louzada (20780461),Didi Louzada,20780461,SG/G/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,NOP,2
C,Anthony Tolliver (20780540),Anthony Tolliver,20780540,C/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,NOP,0
C,Luke Kornet (20780615),Luke Kornet,20780615,C/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,CLE,5.62
C,Anderson Varejao (20780617),Anderson Varejao,20780617,C/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,CLE,0
PF,Tre Scott (20780619),Tre Scott,20780619,PF/F/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,CLE,6.25
SG,Mitch Ballock (20780622),Mitch Ballock,20780622,SG/G/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,CLE,0
PG,Kyle Guy (20780625),Kyle Guy,20780625,PG/G/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,CLE,0
PG,RJ Nembhard (20780628),RJ Nembhard,20780628,PG/G/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,CLE,5.5
C,Ed Davis (20780631),Ed Davis,20780631,C/UTIL,3000,CLE@NOP 12/28/2021 08:00PM ET,CLE,7.75
SF,Sam Dekker (20780348),Sam Dekker,20780348,SF/F/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,TOR,0
SG,Breein Tyree (20780351),Breein Tyree,20780351,SG/G/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,TOR,0
SF,Alex Antetokounmpo (20780354),Alex Antetokounmpo,20780354,SF/F/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,TOR,0
PG,Ashton Hagans (20780357),Ashton Hagans,20780357,PG/G/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,TOR,0
C,Daniel Oturu (20780360),Daniel Oturu,20780360,C/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,TOR,9.5
PF,Reggie Perry (20780362),Reggie Perry,20780362,PF/F/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,TOR,0
SF,Isaac Bonga (20780365),Isaac Bonga,20780365,SF/F/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,TOR,3.5
PG,Goran Dragic (20780368),Goran Dragic,20780368,PG/G/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,TOR,16.9
C,Aron Baynes (20780371),Aron Baynes,20780371,C/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,TOR,0
PG/SG,Malachi Flynn (20780373),Malachi Flynn,20780373,PG/SG/G/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,TOR,7.24
PG/SG,David Johnson (20780377),David Johnson,20780377,PG/SG/G/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,TOR,0
SF,Josh Hall (20780381),Josh Hall,20780381,SF/F/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,TOR,0
SG,Myles Powell (20780524),Myles Powell,20780524,SG/G/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,PHI,2.38
PF/C,Paul Reed (20780527),Paul Reed,20780527,PF/C/F/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,PHI,8.03
PF,Filip Petrusev (20780531),Filip Petrusev,20780531,PF/F/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,PHI,0
SF,Aaron Henry (20780534),Aaron Henry,20780534,SF/F/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,PHI,0.92
SG,Jaden Springer (20780537),Jaden Springer,20780537,SG/G/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,PHI,4
PG,Grant Riller (20780542),Grant Riller,20780542,PG/G/UTIL,3000,PHI@TOR 12/28/2021 07:30PM ET,PHI,0
